rcn	reference	acronym	status	programme	topics	startDate	endDate	totalCost	ecMaxContribution	call	fundingScheme	coordinator	coordinatorCountry	numOrg	totalContrib
193184	633190	FAIR-PARK-II	SIGNED	H2020-EU.3.1.	PHC-13-2014	2015-05-01	2020-04-30	8263202,50	5998994,00	H2020-PHC-2014-two-stage	RIA	CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE LILLE	FR	 15	5998994,00
193185	633192	ToMax	SIGNED	H2020-EU.2.1.5.;H2020-EU.2.1.5.1.	FoF-02-2014	2015-01-01	2017-12-31	3157986,00	3157986,00	H2020-FoF-2014	RIA	TECHNISCHE UNIVERSITAET WIEN	AT	 10	3157986,00
193186	633196	CATCH ME	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2019-04-30	4944773,00	4944773,00	H2020-PHC-2014-two-stage	RIA	THE UNIVERSITY OF BIRMINGHAM	UK	 9	4944773,00
193187	633197	LUNA 2014	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-04-01	2014-10-31	189032,00	74032,00	H2020-MSCA-NIGHT-2014	CSA	ACCADEMIA EUROPEA PER LA RICERCA APPLICATA ED IL PERFEZIONAMENTO PROFESSIONALE BOLZANO (ACCADEMIA EUROPEA BOLZANO)	IT	 3	74032,00
193188	633211	AtlantOS	SIGNED	H2020-EU.3.2.	BG-08-2014	2015-04-01	2019-07-01	20652921,00	20652921,00	H2020-BG-2014-2	RIA	HELMHOLTZ ZENTRUM FUR OZEANFORSCHUNG KIEL	DE	 62	20652921,00
193189	633212	ALEC	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2019-04-30	7271433,75	5534094,25	H2020-PHC-2014-two-stage	RIA	IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE	UK	 11	5534094,25
193190	633216	NHM NIGHT5	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	408821,00	270000,00	H2020-MSCA-NIGHT-2014	CSA	NATURAL HISTORY MUSEUM	UK	 1	270000,00
193191	633219	Science at Aveiro	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-12-31	154125,00	154125,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSIDADE DE AVEIRO	PT	 2	154125,00
193192	633230	DREAMS	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-04-01	2015-11-30	582875,00	300000,00	H2020-MSCA-NIGHT-2014	CSA	ASSOCIAZIONE FRASCATI SCIENZA	IT	 1	300000,00
193193	633236	EPICNIGHT	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	139825,00	132775,00	H2020-MSCA-NIGHT-2014	CSA	POLITECHNIKA POZNANSKA	PL	 6	132775,00
193194	633243	OurFuture	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-04-01	2015-10-31	345040,00	180000,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITAT DE GIRONA	ES	 14	180000,00
193195	633249	EXPLORATHON	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	250253,75	162117,00	H2020-MSCA-NIGHT-2014	CSA	THE UNIVERSITY COURT OF THE UNIVERSITY OF ABERDEEN	UK	 4	162117,00
193196	633256	Let's Do The Science	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	353525,00	131260,00	H2020-MSCA-NIGHT-2014	CSA	ANKARA UNIVERSITESI	TR	 2	131260,00
193197	633260	ESC	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	287850,00	110000,00	H2020-MSCA-NIGHT-2014	CSA	ESCIENCIA EVENTOS CIENTIFICOS SL	ES	 3	110000,00
193198	633261	Science in the City	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	208000,00	160000,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITA TA MALTA	MT	 5	160000,00
193199	633263	EXPERIM	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	1045075,00	421200,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITE DE BOURGOGNE	FR	 11	421200,00
193200	633275	TRACKS	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-04-01	2015-11-30	279250,00	184250,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITA DEGLI STUDI DI TORINO	IT	 6	184250,00
193201	633277	ERNI2014	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	808050,00	300000,00	H2020-MSCA-NIGHT-2014	CSA	ISRAEL NATIONAL MUSEUM OF SCIENCE, TECHNOLOGY AND SPACE DANIEL AND MATILDE RECANATI CENTER	IL	 12	300000,00
193202	633281	FAWORIT 2014-2015	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	207675,00	207675,00	H2020-MSCA-NIGHT-2014	CSA	BAY ZOLTAN ALKALMAZOTT KUTATASI KOZHASZNU NONPROFIT KFT.	HU	 4	207675,00
193203	633288	ERN14-15SVK	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	150000,00	150000,00	H2020-MSCA-NIGHT-2014	CSA	SLOVENSKA ORGANIZACIA PRE VYSKUMNEA VYVOJOVE AKTIVITY ZDRUZENIE	SK	 4	150000,00
193204	633292	DiscoverResearch	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	175162,50	175162,50	H2020-MSCA-NIGHT-2014	CSA	THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN	IE	 1	175162,50
193205	633297	R4H1415	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	144000,00	124000,00	H2020-MSCA-NIGHT-2014	CSA	ASOCIATIA INVENIO	RO	 4	124000,00
193206	633303	ReN2014-15	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	219812,50	205413,00	H2020-MSCA-NIGHT-2014	CSA	ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS	EL	 5	205413,00
193207	633304	RESSQUA	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-04-01	2015-11-30	422423,75	159000,00	H2020-MSCA-NIGHT-2014	CSA	DESCUBRE - FUNDACION ANDALUZA PARA LA DIVULGACION DE LA INNOVACION Y EL CONOCIMIENTO	ES	 14	159000,00
193208	633305	CRO-EU-REKA	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	144750,00	107430,00	H2020-MSCA-NIGHT-2014	CSA	DRUSTVO ZNANOST.ORG	HR	 3	107430,00
193209	633306	Party do not stop	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	160531,25	160000,00	H2020-MSCA-NIGHT-2014	CSA	COMUNE DI GENOVA	IT	 8	160000,00
193210	633307	POP SCIENCE	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	968312,50	210000,00	H2020-MSCA-NIGHT-2014	CSA	EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH	CH	 3	210000,00
193211	633310	Volcanoes Night III	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	227225,00	153000,00	H2020-MSCA-NIGHT-2014	CSA	LA PALMA RESEARCH CENTRE FOR FUTURE STUDIES SL	ES	 2	153000,00
193212	633311	RoTalkScience	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	118316,25	118316,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITATEA ALEXANDRU IOAN CUZA	RO	 10	118316,00
193213	633320	BS_Night_140926_150925	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	189000,00	189000,00	H2020-MSCA-NIGHT-2014	CSA	HAUS DER WISSENSCHAFT BRAUNSCHWEIG GMBH	DE	 2	189000,00
193214	633328	BGCN	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-09-30	127855,00	127855,00	H2020-MSCA-NIGHT-2014	CSA	BRISTOL NATURAL HISTORY CONSORTIUM	UK	 3	127855,00
193215	633330	Power2Nights	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	443723,50	354506,00	H2020-MSCA-NIGHT-2014	CSA	MALOPOLSKA VOIVODSHIP	PL	 13	354506,00
193216	633335	REN-ATHENS	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	160000,00	160000,00	H2020-MSCA-NIGHT-2014	CSA	"NATIONAL CENTER FOR SCIENTIFIC RESEARCH ""DEMOKRITOS"""	EL	 7	160000,00
193217	633338	SUCCESS	SIGNED	H2020-EU.3.4.	MG-5.2-2014	2015-05-01	2018-04-30	3238117,50	3238117,50	H2020-MG-2014_TwoStages	RIA	LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY	LU	 11	3238117,50
193218	633344	YorNight	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-07-01	2015-11-30	157742,00	157742,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSITY OF YORK	UK	 2	157742,00
193219	633351	NLRN20142015	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	541463,00	305000,00	H2020-MSCA-NIGHT-2014	CSA	Stichting Very Disco	NL	 1	305000,00
193220	633355	F.I.T. for Future	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	275000,00	160000,00	H2020-MSCA-NIGHT-2014	CSA	FACHHOCHSCHULE ST POELTEN GMBH	AT	 1	160000,00
193221	633363	RiNG-14-15	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	173000,00	150000,00	H2020-MSCA-NIGHT-2014	CSA	TIDEA DOO BANJA LUKA	BA	 3	150000,00
193222	633367	SHARPER	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	332065,00	249050,00	H2020-MSCA-NIGHT-2014	CSA	PSIQUADRO SOCIETA COOPERATIVA	IT	 5	249050,00
193223	633370	ScienceCity	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	265500,00	140000,00	H2020-MSCA-NIGHT-2014	CSA	ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE	PL	 1	140000,00
193224	633376	SCIMFONICOM 2014-15	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-10-31	163755,00	140000,00	H2020-MSCA-NIGHT-2014	CSA	INSTITUT ZA MOLEKULARNU GENETIKU I GENETICKO INZENJERSTVO	RS	 3	140000,00
193225	633379	CITSCI	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	122050,00	122050,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERSIDADE DE LISBOA	PT	 3	122050,00
193226	633382	ARTofscience	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-10-31	105673,75	76000,00	H2020-MSCA-NIGHT-2014	CSA	ISTANBUL AYDIN UNIVERSITESI VAKFI	TR	 1	76000,00
193227	633396	Friend2U	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	112700,00	98000,00	H2020-MSCA-NIGHT-2014	CSA	UNIVERZITET U NOVOM SADU FAKULTET TEHNICKIH NAUKA	RS	 6	98000,00
193228	633397	RNEst14-15	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-06-01	2015-11-30	164375,00	152500,00	H2020-MSCA-NIGHT-2014	CSA	SIHTASUTUS TEADUSKESKUS AHHAA	EE	 3	152500,00
193229	633398	FLIRT	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	181679,00	144143,00	H2020-MSCA-NIGHT-2014	CSA	CPNU -  CENTAR ZA PROMOCIJU NAUKE IUMETNOSTI DRUSTVO SA OGRANICENOM ODGOVORNOSCU BEOGRAD	RS	 5	144143,00
193230	633402	NEWHORIZONS	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-11-30	423900,00	182500,00	H2020-MSCA-NIGHT-2014	CSA	STICHTING SCIENCE STREET	NL	 1	182500,00
193231	633406	MONTENIGHT2014-15	SIGNED	H2020-EU.1.3.5.	MSCA-NIGHT-2014	2014-05-01	2015-12-31	85288,46	80285,00	H2020-MSCA-NIGHT-2014	CSA	J.U. PRIRODNJACKI MUZEJ CRNE GORE PODGORICA	ME	 3	80285,00
193232	633413	MIROCALS	SIGNED	H2020-EU.3.1.	PHC-13-2014	2015-09-01	2019-08-31	6510742,70	5980435,00	H2020-PHC-2014-two-stage	RIA	CENTRE HOSPITALIER UNIVERSITAIRE	FR	 11	5980435,00
193233	633436	ULTIMATE	SIGNED	H2020-EU.3.4.	MG-1.5-2014	2015-09-01	2018-08-31	3138121,88	3138121,88	H2020-MG-2014_TwoStages	RIA	CHALMERS TEKNISKA HOEGSKOLA AB	SE	 10	3138121,88
193234	633464	DIABOLO	SIGNED	H2020-EU.3.2.	ISIB-04a-2014	2015-03-01	2019-03-01	4998970,00	4734594,50	H2020-ISIB-2014-2	RIA	Luonnonvarakeskus	FI	 33	4734594,50
193235	633476	AquaSpace	SIGNED	H2020-EU.3.2.	SFS-11a-2014	2015-03-01	2018-02-28	3625581,25	2989814,50	H2020-SFS-2014-2	RIA	THE SCOTTISH ASSOCIATION FOR MARINE SCIENCE	UK	 21	2989814,50
193236	633477	MORE-CONNECT	SIGNED	H2020-EU.3.3.1.	EE-01-2014	2014-12-01	2018-11-30	5557263,00	4364748,60	H2020-EE-2014-1-PPP	IA	Huygen Installatie Adviseurs	NL	 18	4364748,60
193237	633485	SafetyCube	SIGNED	H2020-EU.3.4.	MG-3.4-2014	2015-05-01	2018-04-30	5790111,25	5790111,25	H2020-MG-2014_TwoStages	RIA	LOUGHBOROUGH UNIVERSITY	UK	 17	5790111,25
193238	633491	DOLORisk	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-07-01	2019-06-30	5981219,50	5981219,50	H2020-PHC-2014-two-stage	RIA	THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD	UK	 12	5981219,50
193239	633509	EXTPRO	SIGNED	H2020-EU.1.1.	ERC-StG-2014	2015-03-01	2020-02-29	1221921,00	1221921,00	ERC-2014-STG	ERC-STG	TEL AVIV UNIVERSITY	IL	 1	1221921,00
193240	633515	ULTRADIAN	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-09-01	2019-08-31	5999381,25	5999381,00	H2020-PHC-2014-two-stage	RIA	UNIVERSITETET I BERGEN	NO	 6	5999381,00
193241	633531	Feed-a-Gene	SIGNED	H2020-EU.3.2.	SFS-01a-2014	2015-03-01	2020-02-29	9933795,00	8999544,00	H2020-SFS-2014-2	RIA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE	FR	 23	8999544,00
193242	633545	PRO-CF-MED	SIGNED	H2020-EU.3.1.	PHC-13-2014	2015-05-01	2017-12-31	21237179,50	5997139,00	H2020-PHC-2014-two-stage	RIA	PROQR THERAPEUTICS BV	NL	 6	5997139,00
193243	633567	IDEAS	SIGNED	H2020-EU.1.3.1.	MSCA-ITN-2014-ETN	2015-01-01	2018-12-31	3108939,48	3108939,48	H2020-MSCA-ITN-2014	MSCA-ITN-ETN	LANCASTER UNIVERSITY	UK	 8	3108939,48
193244	633571	DIVERSIFOOD	SIGNED	H2020-EU.3.2.	SFS-07a-2014	2015-03-01	2019-02-28	4009851,25	3429908,75	H2020-SFS-2014-2	RIA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE	FR	 21	3429908,75
193245	633589	Ageing with elegans	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2020-04-30	7305146,00	6573680,50	H2020-PHC-2014-two-stage	RIA	KATHOLIEKE UNIVERSITEIT LEUVEN	BE	 17	6573680,50
193246	633592	APERIM	SIGNED	H2020-EU.3.1.	PHC-32-2014	2015-05-01	2018-04-30	2999287,50	2999287,50	H2020-PHC-2014-two-stage	RIA	MEDIZINISCHE UNIVERSITAT INNSBRUCK	AT	 11	2999287,50
193247	633595	DYNAHEALTH	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-04-01	2019-03-31	5918766,25	5917265,50	H2020-PHC-2014-two-stage	RIA	OULUN YLIOPISTO	FI	 13	5917265,50
193248	633635	DiaChemo	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-05-01	2019-04-30	5240708,13	4654333,00	H2020-PHC-2014-two-stage	RIA	FONDAZIONE IRCCS ISTITUTO NEUROLOGICO CARLO BESTA	IT	 8	4654333,00
193249	633666	LIFEPATH	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2019-04-30	7259113,16	5999756,00	H2020-PHC-2014-two-stage	RIA	IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE	UK	 16	5999756,00
193250	633680	DiscardLess	SIGNED	H2020-EU.3.2.	SFS-09-2014	2015-03-01	2019-02-28	5551125,25	5000000,00	H2020-SFS-2014-2	RIA	DANMARKS TEKNISKE UNIVERSITET	DK	 31	5000000,00
193251	633692	SUSFANS	SIGNED	H2020-EU.3.2.	SFS-19-2014	2015-04-01	2019-03-31	5299993,64	4999993,00	H2020-SFS-2014-2	RIA	STICHTING DIENST LANDBOUWKUNDIG ONDERZOEK	NL	 16	4999993,00
193252	633724	SHIPS	SIGNED	H2020-EU.3.1.2.	PHC-06-2014	2015-09-01	2018-08-31	2993175,00	2993174,75	H2020-PHC-2014-two-stage	RIA	INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)	FR	 14	2993174,75
193253	633765	SECURE	SIGNED	H2020-EU.3.1.	PHC-17-2014	2015-05-01	2020-04-30	6769898,50	5998786,00	H2020-PHC-2014-two-stage	RIA	FUNDACION CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CARLOS III	ES	 11	5998786,00
193254	633776	MMTech	SIGNED	H2020-EU.3.4.	MG-1.1-2014	2015-05-01	2019-04-30	5708000,00	5708000,00	H2020-MG-2014_TwoStages	RIA	THE UNIVERSITY OF SHEFFIELD	UK	 13	5708000,00
193255	633780	DIAGORAS	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-06-01	2019-05-31	5574351,25	4721198,50	H2020-PHC-2014-two-stage	RIA	HAHN-SCHICKARD-GESELLSCHAFT FUER ANGEWANDTE FORSCHUNG E.v.	DE	 9	4721198,50
193256	633784	B-CAST	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-09-01	2020-08-31	6120856,25	5983356,25	H2020-PHC-2014-two-stage	RIA	STICHTING HET NEDERLANDS KANKER INSTITUUT-ANTONI VAN LEEUWENHOEK ZIEKENHUIS	NL	 12	5983356,25
193257	633814	PEGASUS	SIGNED	H2020-EU.3.2.	ISIB-01-2014	2015-03-01	2018-02-28	3007800,00	2977525,00	H2020-ISIB-2014-2	RIA	INSTITUTE FOR EUROPEAN ENVIRONMENTAL POLICY, LONDON	UK	 14	2977525,00
193258	633818	dasQ	SIGNED	H2020-EU.1.1.	ERC-StG-2014	2015-06-01	2020-05-31	1988100,00	1988100,00	ERC-2014-STG	ERC-STG	MAX PLANCK GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V.	DE	 1	1988100,00
193259	633888	SPENmr	SIGNED	H2020-EU.1.1.	ERC-PoC-2014	2015-02-01	2016-07-31	150000,00	150000,00	ERC-2014-PoC	ERC-POC	WEIZMANN INSTITUTE OF SCIENCE	IL	 1	150000,00
193260	633929	Prominent	SIGNED	H2020-EU.3.4.	MG-4.4-2014	2015-05-01	2018-04-30	6572616,25	6249997,75	H2020-MG-2014_TwoStages	RIA	STICHTING STC-GROUP	NL	 17	6249997,75
193261	633937	ULTRAPLACAD	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-05-01	2018-10-31	6026455,00	6026455,00	H2020-PHC-2014-two-stage	RIA	NATIONAL INSTITUTE OF BIOSTRUCTURES AND BIOSYSTEMS	IT	 13	6026455,00
193262	633945	FATIMA	SIGNED	H2020-EU.3.2.	SFS-02a-2014	2015-03-01	2018-02-28	7966697,00	7966697,00	H2020-SFS-2014-2	RIA	UNIVERSIDAD DE CASTILLA - LA MANCHA	ES	 21	7966697,00
193263	633962	P4SB	SIGNED	H2020-EU.2.1.4.	BIOTEC-1-2014	2015-04-01	2019-03-31	7056968,75	7056968,50	H2020-LEIT-BIO-2014-1	RIA	RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN	DE	 11	7056968,50
193264	633964	ImmunoAgeing	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2019-04-30	5850000,00	5850000,00	H2020-PHC-2014-two-stage	RIA	CONSIGLIO NAZIONALE DELLE RICERCHE	IT	 4	5850000,00
193265	633974	SOUND	SIGNED	H2020-EU.3.1.	PHC-32-2014	2015-09-01	2018-08-31	3656977,50	2953062,50	H2020-PHC-2014-two-stage	RIA	EUROPEAN MOLECULAR BIOLOGY LABORATORY	DE	 10	2953062,50
193266	633983	ENSAT-HT	SIGNED	H2020-EU.3.1.2.	PHC-05-2014	2015-05-01	2020-04-30	8440635,00	7607337,00	H2020-PHC-2014-two-stage	RIA	INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)	FR	 13	7607337,00
193267	633999	EUCLID	SIGNED	H2020-EU.3.2.	SFS-03b-2014	2015-09-15	2019-09-14	4088722,37	3000000,00	H2020-SFS-2014-2	RIA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE	FR	 18	3000000,00
193268	634013	PHOCNOSIS	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-09-01	2018-08-31	4146163,75	3593962,00	H2020-PHC-2014-two-stage	RIA	UNIVERSITAT POLITECNICA DE VALENCIA	ES	 10	3593962,00
193269	634086	NEPHSTROM	SIGNED	H2020-EU.3.1.	PHC-13-2014	2015-05-01	2019-04-30	5994373,75	5994373,75	H2020-PHC-2014-two-stage	RIA	NATIONAL UNIVERSITY OF IRELAND, GALWAY	IE	 11	5994373,75
193270	634107	MULTIMOT	SIGNED	H2020-EU.3.1.	PHC-32-2014	2015-08-01	2018-07-31	2999354,00	2999354,00	H2020-PHC-2014-two-stage	RIA	VIB	BE	 11	2999354,00
193271	634113	GermAge	SIGNED	H2020-EU.3.1.1.	PHC-01-2014	2015-05-01	2020-04-30	5350598,75	5350598,75	H2020-PHC-2014-two-stage	RIA	TECHNISCHE UNIVERSITAET DRESDEN	DE	 4	5350598,75
193272	634137	FAPIC	SIGNED	H2020-EU.3.1.	PHC-10-2014	2015-05-01	2020-04-30	5999997,00	5999997,00	H2020-PHC-2014-two-stage	RIA	UNIVERSITE LYON 1 CLAUDE BERNARD	FR	 10	5999997,00
