title;topicRcn;topicCode;legalBasisRcn;legalBasisCode
In-Orbit demonstration/Validation (IOD/IOV);664650;COMPET-05-2014;664209;H2020-EU.2.1.6.1.
Bottom-up space technologies at low TRL;664651;COMPET-06-2014;664209;H2020-EU.2.1.6.1.
Space exploration � Life support;664652;COMPET-07-2014;664209;H2020-EU.2.1.6.1.
Science in context: sample curation facility and scientific exploitation of data from Mars missions;664653;COMPET-08-2014;664209;H2020-EU.2.1.6.1.
Technology �demonstrator projects� for exploration;664654;COMPET-09-2014;664215;H2020-EU.2.1.6.4.
Outreach through education;664655;COMPET-10-2014;664209;H2020-EU.2.1.6.1.
Transnational and international cooperation among NCPs;664656;COMPET-11-2014;664209;H2020-EU.2.1.6.1.
Bringing EO applications to the market;664657;EO-1-2015;664207;H2020-EU.2.1.6.
Stimulating wider research use of Copernicus Sentinel Data;664658;EO-2-2015;664207;H2020-EU.2.1.6.
Technology developments for competitive imaging from space;664659;EO-3-2015;664207;H2020-EU.2.1.6.
Passive means to reduce the impact of Space Debris;664660;PROTEC-1-2015;664207;H2020-EU.2.1.6.
Technologies for European non-dependence and competitiveness;664661;COMPET-01-2015;664207;H2020-EU.2.1.6.
Independent access to space;664662;COMPET-02-2015;664207;H2020-EU.2.1.6.
Bottom-up space technologies at low TRL;664663;COMPET-03-2015;664207;H2020-EU.2.1.6.
Space exploration � Habitat management;664664;COMPET-04-2015;664207;H2020-EU.2.1.6.
Scientific exploitation of astrophysics, comets, and planetary data;664665;COMPET-05-2015;664207;H2020-EU.2.1.6.
International Cooperation in space science;664666;COMPET-06-2015;664207;H2020-EU.2.1.6.
SME Instrument;664667;Space-SME-2014-1;664225;H2020-EU.2.3.1.
SME Instrument;664668;Space-SME-2014-2;664225;H2020-EU.2.3.1.
SME Instrument;664669;Space-SME-2015-1;664225;H2020-EU.2.3.1.
SME Instrument;664670;Space-SME-2015-2;664225;H2020-EU.2.3.1.
Research and Development activities related to Galileo Public Regulated Service (PRS);664671;Activity-1-2014;;
Space Surveillance and Tracking: participation of the EU Satellite Centre in the SST Service Function;664672;Activity-2-2014;;
"Studies &amp; Communication";664673;Activity-3-2014;;
Transition towards Copernicus;664674;Activity-5-2014;;
"GNSS Evolution, Mission and Services related R&amp;D activities";664675;Activity-1-2015;;
"GNSS evolution, infrastructure-related R&amp;D activities";664676;Activity-2-2015;;
Space surveillance and tracking (SST);664677;Activity-3-2015;;
Improving the Performances of the SST at European Level;664678;Activity-4-2015;;
"Studies &amp; Communication";664679;Activity-5-2015;;
Manufacturing of prefabricated modules for renovation of building;664680;EE-01-2014;664323;H2020-EU.3.3.1.
Energy strategies and solutions for deep renovation of historic buildings;664681;EE-03-2014;664323;H2020-EU.3.3.1.
Construction skills;664682;EE-04-2014;664355;H2020-EU.3.3.7.
Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation;664683;EE-05-2014;664355;H2020-EU.3.3.7.
Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures;664684;EE-07-2014;664355;H2020-EU.3.3.7.
Public procurement of innovative sustainable energy solutions;664685;EE-08-2014;664355;H2020-EU.3.3.7.
Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures;664686;EE-09-2014;664355;H2020-EU.3.3.7.
Consumer engagement for sustainable energy;664687;EE-10-2014;664355;H2020-EU.3.3.7.
New ICT-based solutions for energy efficiency;664688;EE-11-2014;664323;H2020-EU.3.3.1.
Socioeconomic research on energy efficiency;664689;EE-12-2014;664353;H2020-EU.3.3.6.
Technology for district heating and cooling;664690;EE-13-2014;664323;H2020-EU.3.3.1.
Removing market barriers to the uptake of efficient heating and cooling solutions;664691;EE-14-2014;664355;H2020-EU.3.3.7.
Ensuring effective implementation of EU product efficiency legislation;664692;EE-15-2014;664355;H2020-EU.3.3.7.
Organisational innovation to increase energy efficiency in industry;664693;EE-16-2014;664355;H2020-EU.3.3.7.
New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use;664694;EE-18-2014;664323;H2020-EU.3.3.1.
Improving the financeability and attractiveness of sustainable energy investments;664695;EE-19-2014;664355;H2020-EU.3.3.7.
Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects;664696;EE-20-2014;664355;H2020-EU.3.3.7.
Development and market roll-out of innovative energy services and financial schemes for sustainable energy;664697;EE-21-2014;664355;H2020-EU.3.3.7.
Buildings design for new highly energy performing buildings;664698;EE-02-2015;664323;H2020-EU.3.3.1.
Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation;664699;EE-05-2015;664355;H2020-EU.3.3.7.
Demand response in blocks of buildings;664700;EE-06-2015;664323;H2020-EU.3.3.1.
Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures;664701;EE-07-2015;664355;H2020-EU.3.3.7.
Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures;664702;EE-09-2015;664355;H2020-EU.3.3.7.
Consumer engagement for sustainable energy;664703;EE-10-2015;664355;H2020-EU.3.3.7.
New ICT-based solutions for energy efficiency;664704;EE-11-2015;664323;H2020-EU.3.3.1.
Technology for district heating and cooling;664705;EE-13-2015;664323;H2020-EU.3.3.1.
Removing market barriers to the uptake of efficient heating and cooling solutions;664706;EE-14-2015;664355;H2020-EU.3.3.7.
Ensuring effective implementation of EU product efficiency legislation;664707;EE-15-2015;664355;H2020-EU.3.3.7.
Organisational innovation to increase energy efficiency in industry;664708;EE-16-2015;664355;H2020-EU.3.3.7.
Driving energy innovation through large buyer groups;664709;EE-17-2015;664355;H2020-EU.3.3.7.
New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use;664710;EE-18-2015;664323;H2020-EU.3.3.1.
Improving the financeability and attractiveness of sustainable energy investments;664711;EE-19-2015;664355;H2020-EU.3.3.7.
Project development assistance for innovative bankable and aggregated sustainable energy investment schemes and projects;664712;EE-20-2015;664355;H2020-EU.3.3.7.
Development and market roll-out of innovative energy services and financial schemes for sustainable energy;664713;EE-21-2015;664355;H2020-EU.3.3.7.
Global waste dimension;664714;WASTE-4b-2014;664417;H2020-EU.3.5.4.
Secondary raw materials inventory;664715;WASTE-2014-4-c;;
Eco-innovative strategies;664716;WASTE-6b-2015;664417;H2020-EU.3.5.4.
Structuring research on soil, land-use and land management in Europe;664717;SC5-10b-2014;664399;H2020-EU.3.5.2.
New sustainable exploration technologies and geomodels;664718;SC5-11d-2015;664407;H2020-EU.3.5.3.
New metallurgical systems;664719;SC5-11e-2015;664407;H2020-EU.3.5.3.
Linkages between climate change actions and sustainable development;664720;SC5-03b-2014;664391;H2020-EU.3.5.1.
Strategic international dialogues and cooperation on raw materials with technologically advanced countries;664721;SC5-13b-2014;664407;H2020-EU.3.5.3.
Raw materials research and innovation coordination;664722;SC5-13d-2015;664407;H2020-EU.3.5.3.
Raw materials intelligence capacity;664723;SC5-13e-2015;664407;H2020-EU.3.5.3.
Strategic international dialogues and cooperation with raw materials producing countries and industry;664724;SC5-13f-2015;664407;H2020-EU.3.5.3.
Secondary raw materials inventory;664725;WASTE-4c-2014;664417;H2020-EU.3.5.4.
Genetics and nutrition and alternative feed sources for terrestrial livestock production;664726;SFS-01a-2014;664281;H2020-EU.3.2.
Assessing sustainability of terrestrial livestock production;664727;SFS-01c-2015;664281;H2020-EU.3.2.
External nutrient inputs;664728;SFS-02a-2014;664281;H2020-EU.3.2.
Assessing soil-improving cropping systems;664729;SFS-02b-2015;664281;H2020-EU.3.2.
Native and alien pests in agriculture and forestry;664730;SFS-03a-2014;664281;H2020-EU.3.2.
Soil quality and function;664731;SFS-04-2014;664281;H2020-EU.3.2.
Strategies for crop productivity, stability and quality;664732;SFS-05-2015;664281;H2020-EU.3.2.
Sustainable intensification pathways of agro-food systems in Africa;664733;SFS-06-2014;664281;H2020-EU.3.2.
Traditional resources for agricultural diversity and the food chain;664734;SFS-07a-2014;664281;H2020-EU.3.2.
Management and sustainable use of genetic resources;664735;SFS-07b-2015;664281;H2020-EU.3.2.
Resource-efficient eco-innovative food production and processing;664736;SFS-08-2014;664225;H2020-EU.2.3.1.
Resource-efficient eco-innovative food production and processing;664737;SFS-08-2015;664225;H2020-EU.2.3.1.
Towards a gradual elimination of discards in European fisheries;664738;SFS-09-2014;664281;H2020-EU.3.2.
Scientific basis and tools for preventing and mitigating parasitic diseases of European farmed fish;664739;SFS-10a-2014;664281;H2020-EU.3.2.
Scientific basis and tools for preventing and mitigating farmed mollusc diseases;664740;SFS-10b-2015;664281;H2020-EU.3.2.
Optimizing space availability for European Aquaculture;664741;SFS-11a-2014;664281;H2020-EU.3.2.
Consolidating the environmental sustainability of European aquaculture;664742;SFS-11b-2015;664281;H2020-EU.3.2.
Assessing the health risks of combined human exposure to multiple food-related toxic substances;664743;SFS-12-2014;664281;H2020-EU.3.2.
Biological contamination of crops and the food chain;664744;SFS-13-2015;664281;H2020-EU.3.2.
Authentication of olive oil;664745;SFS-14a-2014;664281;H2020-EU.3.2.
Authentication of food products;664746;SFS-14b-2015;664281;H2020-EU.3.2.
Proteins of the future;664747;SFS-15-2014;664281;H2020-EU.3.2.
Tackling malnutrition in the elderly;664748;SFS-16-2015;664281;H2020-EU.3.2.
Small farms but global markets: the role of small and familiy farms in food and nutrition security;664749;SFS-18-2015;664281;H2020-EU.3.2.
Sustainable food and nutrition security through evidence based EU agro-food policy;664750;SFS-19-2014;664281;H2020-EU.3.2.
Sustainable food chains through public policies: the cases of the EU quality policy and of public sector food procurement;664751;SFS-20-2015;664281;H2020-EU.3.2.
Improving the preservation and sustainable exploitation of Atlantic marine ecosystems;664752;BG-01-2015;664281;H2020-EU.3.2.
Forecasting and anticipating effects of climate change on fisheries and aquaculture;664753;BG-02-2015;664281;H2020-EU.3.2.
Novel marine derived biomolecules and industrial biomaterials;664754;BG-03-2014;664281;H2020-EU.3.2.
Enhancing the industrial exploitation potential of marine-derived enzymes;664755;BG-04-2014;664281;H2020-EU.3.2.
Preparing for the future innovative offshore economy;664756;BG-05-2014;664281;H2020-EU.3.2.
Delivering the sub-sea technologies for new services at sea;664757;BG-06-2014;664281;H2020-EU.3.2.
Response capacities to oil spills and marine pollutions;664758;BG-07-2015;664281;H2020-EU.3.2.
Developing in-situ Atlantic Ocean Observations for a better management and sustainable exploitation of the maritime resources;664759;BG-08-2014;664281;H2020-EU.3.2.
Acoustic and imaging technologies;664760;BG-09-2014;664281;H2020-EU.3.2.
Consolidating the economic sustainability and competitiveness of European fisheries and aquaculture sectors to reap the potential of seafood markets;664761;BG-10-2014;664281;H2020-EU.3.2.
Monitoring, dissemination and uptake of marine and maritime research;664762;BG-11-2014;664281;H2020-EU.3.2.
Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth;664763;BG-12-2014;664225;H2020-EU.2.3.1.
Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth;664764;BG-12-2015;664225;H2020-EU.2.3.1.
Ocean literacy � Engaging with society � Social Innovation;664765;BG-13-2014;664281;H2020-EU.3.2.
Supporting international cooperation initiatives: �Atlantic Ocean Cooperation Research Alliance;664766;BG-14-2014;664281;H2020-EU.3.2.
European polar research cooperation;664767;BG-15-2014;664281;H2020-EU.3.2.
Coordination action in support of the implementation of the Joint Programming Initiative on 'Healthy and Productive Seas and Oceans';664768;BG-16-2015;664281;H2020-EU.3.2.
Provision of public goods by EU agriculture and forestry: Putting the concept into practice;664769;ISIB-01-2014;664281;H2020-EU.3.2.
Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange;664770;ISIB-02-2014;664281;H2020-EU.3.2.
Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange;664771;ISIB-02-2015;664281;H2020-EU.3.2.
Unlocking the growth potential of rural areas through enhanced governance and social innovation;664772;ISIB-03-2015;664281;H2020-EU.3.2.
Improved forest data;664773;ISIB-04a-2014;664281;H2020-EU.3.2.
Improved forest management models;664774;ISIB-04b-2015;664281;H2020-EU.3.2.
Renewable oil crops as a source of bio-based products;664775;ISIB-05-2014;664281;H2020-EU.3.2.
Converting CO2 into chemicals;664776;ISIB-06-2015;664281;H2020-EU.3.2.
Public procurement networks on innovative bio-based products;664777;ISIB-07-2014;664281;H2020-EU.3.2.
Engaging society, reaching end users and linking with policy makers for a participative governance of the bioeconomy;664778;ISIB-08a-2014;664281;H2020-EU.3.2.
Supporting National Contact Points for Horizon 2020 Societal Challenge 2 on �Food Security, Sustainable Agriculture, Marine and Maritime Research and the Bioeconomy� and the Key Enabling Technology (KET) �Biotechnology�;664779;ISIB-09-2014;664281;H2020-EU.3.2.
Networking of Bioeconomy relevant ERA-NETs;664780;ISIB-10-2014;664281;H2020-EU.3.2.
Coordination action in support of the implementation by participating States of a Joint Programming Initiative on Agriculture, Food Security and Climate Change;664781;ISIB-11-2014;664281;H2020-EU.3.2.
Rural development;664782;ISIB-12b-2015;;
ERC Starting Grant;664783;ERC-StG-2014;664099;H2020-EU.1.1.
ERC Consolidator Grant;664784;ERC-CoG-2014;664099;H2020-EU.1.1.
ERC Proof of Concept Grant;664785;ERC-PoC-2014;664099;H2020-EU.1.1.
Smart Cyber-Physical Systems;664786;ICT-01-2014;664149;H2020-EU.2.1.1.1.
Smart System Integration;664787;ICT-02-2014;664149;H2020-EU.2.1.1.1.
Advanced Thin, Organic and Large Area Electronics (TOLAE) technologies;664788;ICT-03-2014;664149;H2020-EU.2.1.1.1.
Customised and low power computing;664789;ICT-04-2015;664147;H2020-EU.2.1.1.
Smart Networks and novel Internet Architectures;664790;ICT-05-2014;664153;H2020-EU.2.1.1.3.
Smart optical and wireless network technologies;664791;ICT-06-2014;664153;H2020-EU.2.1.1.3.
Advanced Cloud Infrastructures and Services;664792;ICT-07-2014;664153;H2020-EU.2.1.1.3.
Boosting public sector productivity and innovation through cloud computing services;664793;ICT-08-2015;664147;H2020-EU.2.1.1.
Tools and Methods for Software Development;664794;ICT-09-2014;664153;H2020-EU.2.1.1.3.
Collective Awareness Platforms for Sustainability and Social Innovation;664795;ICT-10-2015;664147;H2020-EU.2.1.1.
"FIRE+ (Future Internet Research &amp; Experimentation)";664796;ICT-11-2014;664153;H2020-EU.2.1.1.3.
Integrating experiments and facilities in FIRE+;664797;ICT-12-2015;664147;H2020-EU.2.1.1.
Web Entrepreneurship;664798;ICT-13-2014;664153;H2020-EU.2.1.1.3.
Advanced 5G Network Infrastructure for the Future Internet;664799;ICT-14-2014;664153;H2020-EU.2.1.1.3.
Big data and Open Data Innovation and take-up;664800;ICT-15-2014;664155;H2020-EU.2.1.1.4.
Big data - research;664801;ICT-16-2015;664147;H2020-EU.2.1.1.
Cracking the language barrier;664802;ICT-17-2014;664155;H2020-EU.2.1.1.4.
Support the growth of ICT innovative Creative Industries SMEs;664803;ICT-18-2014;664155;H2020-EU.2.1.1.4.
Technologies for creative industries, social media and convergence;664804;ICT-19-2015;664147;H2020-EU.2.1.1.
Technologies for better human learning and teaching;664805;ICT-20-2015;664147;H2020-EU.2.1.1.
Advanced digital gaming/gamification technologies;664806;ICT-21-2014;664155;H2020-EU.2.1.1.4.
Multimodal and Natural computer interaction;664807;ICT-22-2014;664155;H2020-EU.2.1.1.4.
Robotics;664808;ICT-23-2014;664157;H2020-EU.2.1.1.5.
Robotics;664809;ICT-24-2015;664147;H2020-EU.2.1.1.
Generic micro- and nano-electronic technologies;664810;ICT-25-2015;664147;H2020-EU.2.1.1.
Photonics KET;664811;ICT-26-2014;664159;H2020-EU.2.1.1.6.
Photonics KET;664812;ICT-27-2015;664147;H2020-EU.2.1.1.
Cross-cutting ICT KETs;664813;ICT-28-2015;664147;H2020-EU.2.1.1.
Development of novel materials and systems for OLED lighting;664814;ICT-29-2014;664159;H2020-EU.2.1.1.6.
Internet of Things and Platforms for Connected Smart Objects;664815;ICT-30-2015;664147;H2020-EU.2.1.1.
Human-centric Digital Age;664816;ICT-31-2014;664147;H2020-EU.2.1.1.
Cybersecurity, Trustworthy ICT;664817;ICT-32-2014;664147;H2020-EU.2.1.1.
Trans-national co-operation among National Contact Points;664818;ICT-33-2014;664147;H2020-EU.2.1.1.
ICT contribution to pilot for co�investments by business angels in innovative ICT firms;664819;ICT-34-2015;;
Innovation and Entrepreneurship Support;664820;ICT-35-2014;664147;H2020-EU.2.1.1.
Pre-commercial procurement open to all areas of public interest requiring new ICT solutions;664821;ICT-36-2015;664147;H2020-EU.2.1.1.
Open Disruptive Innovation Scheme (implemented through the SME instrument);664822;ICT-37-2014;664225;H2020-EU.2.3.1.
Open Disruptive Innovation Scheme (implemented through the SME instrument);664823;ICT-37-2015;664225;H2020-EU.2.3.1.
International partnership building and support to dialogues with high income countries;664824;ICT-38-2015;664147;H2020-EU.2.1.1.
International partnership building in low and middle income countries;664825;ICT-39-2015;664147;H2020-EU.2.1.1.
Cloud Computing, including security aspects;664826;EUB-1-2015;664147;H2020-EU.2.1.1.
